date,variable,stream,value,se
2018-03-09,,QPA,0.18134375,
2018-03-10,,QPA,0.181322917,
2018-03-11,,QPA,0.179791667,
2018-03-12,,QPA,0.177885417,
2018-03-13,,QPA,0.174010417,
2018-03-14,,QPA,0.1696875,
2018-03-15,,QPA,0.16765625,
2018-03-16,,QPA,0.165614583,
2018-03-17,,QPA,0.164322917,
2018-03-18,,QPA,0.16271875,
2018-03-19,,QPA,0.162604167,
2018-03-20,,QPA,0.16140625,
2018-03-21,,QPA,0.161458333,
2018-03-22,,QPA,0.16165625,
2018-03-23,,QPA,0.161708333,
2018-03-24,,QPA,0.191416667,
2018-03-25,,QPA,0.226770833,
2018-03-26,,QPA,0.167302083,
2018-03-27,,QPA,0.192833333,
2018-03-28,,QPA,0.1975,
2018-03-29,,QPA,0.167927083,
2018-03-30,,QPA,0.159697917,
2018-03-31,,QPA,0.156270833,
2018-04-01,,QPA,0.15615625,
2018-04-02,,QPA,0.15425,
2018-04-03,,QPA,0.152489583,
2018-04-04,,QPA,0.157395833,
2018-04-05,,QPA,0.152583333,
2018-04-06,,QPA,0.150114583,
2018-04-07,,QPA,0.146572917,
2018-04-08,,QPA,0.145010417,
2018-04-09,,QPA,0.14665625,
2018-04-10,,QPA,0.15340625,
2018-04-11,,QPA,0.191354167,
2018-04-12,,QPA,0.1519375,
2018-04-13,,QPA,0.147895833,
2018-04-14,,QPA,0.161697917,
2018-04-15,,QPA,0.193791667,
2018-04-16,,QPA,0.181552083,
2018-04-17,,QPA,0.20934375,
2018-04-18,,QPA,0.212635417,
2018-04-19,,QPA,0.227260417,
2018-04-20,,QPA,0.180114583,
2018-04-21,,QPA,0.23353125,
2018-04-22,,QPA,0.188270833,
2018-04-23,,QPA,0.187645833,
2018-04-24,,QPA,0.182916667,
2018-04-25,,QPA,0.171239583,
2018-04-26,,QPA,0.166770833,
2018-04-27,,QPA,0.163604167,
2018-04-28,,QPA,0.161979167,
2018-04-29,,QPA,0.161010417,
2018-04-30,,QPA,0.159510417,
2018-05-01,,QPA,0.168458333,
2018-05-02,,QPA,0.161510417,
2018-05-03,,QPA,0.21759375,
2018-05-04,,QPA,0.271260417,
2018-05-05,,QPA,0.278125,
2018-05-06,,QPA,0.244666667,
2018-05-07,,QPA,0.203885417,
2018-05-08,,QPA,0.20278125,
2018-05-09,,QPA,0.240479167,
2018-05-10,,QPA,0.192427083,
2018-05-11,,QPA,0.1815,
2018-05-12,,QPA,0.189625,
2018-05-13,,QPA,0.181385417,
2018-05-14,,QPA,0.21128125,
2018-05-15,,QPA,0.21678125,
2018-05-16,,QPA,0.180791667,
2018-05-17,,QPA,0.211510417,
2018-05-18,,QPA,0.235354167,
2018-05-19,,QPA,0.232166667,
2018-05-20,,QPA,0.2045,
2018-05-21,,QPA,0.206979167,
2018-05-22,,QPA,0.227302083,
2018-05-23,,QPA,0.210322917,
2018-05-24,,QPA,0.187083333,
2018-05-25,,QPA,0.195229167,
2018-05-26,,QPA,0.207604167,
2018-05-27,,QPA,0.1849375,
2018-05-28,,QPA,0.243979167,
2018-05-29,,QPA,0.192052083,
2018-05-30,,QPA,0.214385417,
2018-05-31,,QPA,0.18346875,
2018-06-01,,QPA,0.174572917,
2018-06-02,,QPA,0.172020833,
2018-06-03,,QPA,0.1691875,
2018-06-04,,QPA,0.167072917,
2018-06-05,,QPA,0.166541667,
2018-06-06,,QPA,0.166333333,
2018-06-07,,QPA,0.164645833,
2018-06-08,,QPA,0.164333333,
2018-06-09,,QPA,0.166770833,
2018-06-10,,QPA,0.188020833,
2018-06-11,,QPA,0.181208333,
2018-06-12,,QPA,0.199979167,
2018-06-13,,QPA,0.16771875,
2018-06-14,,QPA,0.1606875,
2018-06-15,,QPA,0.154739583,
2018-06-16,,QPA,0.1526875,
2018-06-17,,QPA,0.1505625,
2018-06-18,,QPA,0.15140625,
2018-06-19,,QPA,0.156864583,
2018-06-20,,QPA,0.15209375,
2018-06-21,,QPA,0.147947917,
2018-06-22,,QPA,0.15428125,
2018-06-23,,QPA,0.283489583,
2018-06-24,,QPA,0.242864583,
2018-06-25,,QPA,0.20128125,
2018-06-26,,QPA,0.179072917,
2018-06-27,,QPA,0.172333333,
2018-06-28,,QPA,0.176,
2018-06-29,,QPA,0.16790625,
2018-06-30,,QPA,0.164458333,
2018-07-01,,QPA,0.1620625,
2018-07-02,,QPA,0.160729167,
2018-07-03,,QPA,0.1565625,
2018-07-04,,QPA,0.156666667,
2018-07-05,,QPA,0.157083333,
2018-07-06,,QPA,0.154072917,
2018-07-07,,QPA,0.150979167,
2018-07-08,,QPA,0.155229167,
2018-07-09,,QPA,0.230041667,
2018-07-10,,QPA,0.210354167,
2018-07-11,,QPA,0.17078125,
2018-07-12,,QPA,0.16509375,
2018-07-13,,QPA,0.16021875,
2018-07-14,,QPA,0.158822917,
2018-07-15,,QPA,0.163197917,
2018-07-16,,QPA,0.19753125,
2018-07-17,,QPA,0.183208333,
2018-07-18,,QPA,0.167895833,
2018-07-19,,QPA,0.2068125,
2018-07-20,,QPA,0.177635417,
2018-07-21,,QPA,0.167125,
